edge_id,from_node,to_node,from_x,from_y,to_x,to_y,shape
-1009539090#0,9316831475,cluster_12086567771_3201880957,8619.73,5575.87,8575.26,5595.66,"8619.73,5575.87 8606.05,5576.77 8575.26,5595.66"
-1009539090#1,3201880869,9316831475,8647.4,5574.06,8629.12,5575.26,"8647.40,5574.06 8629.12,5575.26"
-1009546550#0,6154225336,2705435865,6386.12,5948.94,6254.32,6008.92,"6386.12,5948.94 6384.12,5950.41 6364.97,5961.83 6326.39,5985.20 6262.23,6006.99 6254.32,6008.92"
-1009546550#1,9766073942,6154225336,6476.39,5870.94,6397.78,5940.35,"6476.39,5870.94 6453.19,5894.87 6402.95,5936.54 6397.78,5940.35"
-1009546550#2,cluster_2346766144_312707107,9766073942,6585.0,5850.59,6486.42,5860.6,"6585.00,5850.59 6549.16,5846.61 6496.07,5850.63 6486.42,5860.60"
-1009547772,2122268076,cluster_2122268025_2433809952,5041.6,5148.49,5044.16,5121.96,"5041.60,5148.49 5044.16,5121.96"
-1009547773,9314864000,2122268076,4992.04,5155.77,5031.87,5157.01,"4992.04,5155.77 5031.87,5157.01"
-1009766176#0,cluster_2122268025_2433809952,2122268044,5050.18,5116.64,5229.57,5158.24,"5050.18,5116.64 5120.69,5118.56 5213.13,5123.77 5215.98,5124.44 5218.65,5126.61 5229.57,5158.24"
-1009766176#2,cluster_2122268030_2122281879,cluster_2122268025_2433809952,4994.45,5111.42,5016.78,5113.22,"4994.45,5111.42 5016.78,5113.22"
-1009769119#0,9316831474,cluster_3201880742_9316831472,8634.26,5625.53,8655.35,5622.19,"8634.26,5625.53 8655.35,5622.19"
-1009769119#1,9316831476,9316831474,8618.79,5627.99,8624.96,5627.01,"8618.79,5627.99 8624.96,5627.01"
-1009769119#2,9316831473,9316831476,8581.18,5633.94,8609.5,5629.46,"8581.18,5633.94 8609.50,5629.46"
-1009769120,9316831475,9316831474,8623.31,5582.12,8627.1,5620.01,"8623.31,5582.12 8627.10,5620.01"
-1009769121,9316831477,9316831476,8607.49,5587.83,8611.61,5622.56,"8607.49,5587.83 8611.61,5622.56"
-1009774730,9316860721,9316860720,7236.76,3256.94,7356.3,3238.36,"7236.76,3256.94 7356.30,3238.36"
-1010099909#0,12086568342,cluster_297464807_3201880807,8711.64,5481.55,8736.3,5467.88,"8711.64,5481.55 8736.30,5467.88"
-1010099909#1,9319839945,12086568342,8692.75,5492.02,8698.36,5488.91,"8692.75,5492.02 8698.36,5488.91"
-1010100132#0,9319862639,9319862638,8623.86,5682.55,8606.67,5676.28,"8623.86,5682.55 8606.67,5676.28"
-1010100132#1,9319862634,9319862639,8643.38,5678.21,8632.45,5685.32,"8643.38,5678.21 8643.10,5688.30 8632.45,5685.32"
-1010100132#2,9319862638,9319862634,8604.6,5667.98,8643.01,5669.52,"8604.60,5667.98 8602.10,5641.96 8639.39,5639.19 8643.01,5669.52"
-1010100133,cluster_3201880836_7156023731,9319862638,8590.09,5680.69,8599.04,5675.85,"8590.09,5680.69 8590.19,5680.53 8599.04,5675.85"
-1010100134,9319862640,9319862639,8625.02,5697.52,8627.59,5690.66,"8625.02,5697.52 8627.59,5690.66"
-1010100135,9319862634,cluster_12086566185_9169431160,8649.73,5675.25,8665.78,5675.37,"8649.73,5675.25 8665.78,5675.37"
-1010102199,3752450278,3752450287,4914.75,5728.04,4893.17,5758.22,"4914.75,5728.04 4906.70,5733.88 4902.42,5737.35 4898.35,5741.81 4897.01,5744.48 4896.87,5747.70 4897.79,5752.40 4897.85,5753.87 4897.52,5754.71 4893.17,5758.22"
-1010142317#1,4941997032,cluster_10665444979_12074940485_12074940486_12074940487_#1more,9407.97,6089.74,9201.65,6119.78,"9407.97,6089.74 9308.29,6104.26 9201.65,6119.78"
-1010421419#0,3752452001,1083544545,6589.11,5793.76,6589.53,5802.97,"6589.11,5793.76 6589.53,5802.97"
-1010421419#1,298599190,3752452001,6587.96,5768.42,6588.45,5779.28,"6587.96,5768.42 6588.45,5779.28"
-1010421419#2,312707262,298599190,6587.3,5725.52,6587.56,5753.84,"6587.30,5725.52 6587.56,5753.84"
-1010421419#3,312706838,312707262,6586.73,5664.17,6587.16,5710.87,"6586.73,5664.17 6587.16,5710.87"
-1010421420#0,2346766143,1083544545,6698.81,5804.79,6598.56,5808.21,"6698.81,5804.79 6598.56,5808.21"
-1010421420#1,3752452008,2346766143,6729.4,5803.74,6713.26,5804.29,"6729.40,5803.74 6713.26,5804.29"
-1010421420#2,3752452007,3752452008,6753.62,5802.92,6743.8,5803.25,"6753.62,5802.92 6743.80,5803.25"
-1010421420#3,3752452006,3752452007,6775.92,5802.16,6768.03,5802.43,"6775.92,5802.16 6768.03,5802.43"
-1010421420#4,3752452005,3752452006,6799.26,5801.16,6790.32,5801.55,"6799.26,5801.16 6790.32,5801.55"
-1010421420#5,3752452004,3752452005,6824.99,5800.01,6813.87,5800.51,"6824.99,5800.01 6813.87,5800.51"
-1010421420#6,cluster_12079953130_3752452003,3752452004,6837.85,5799.44,6837.65,5799.45,"6837.85,5799.44 6837.65,5799.45"
-1010421420#8,2705418542,cluster_12079953130_3752452003,6874.09,5799.08,6856.05,5798.86,"6874.09,5799.08 6856.05,5798.86"
-1010424151#0,9322776469,cluster_312691777_9322776466,8655.32,6137.1,8622.8,6076.32,"8655.32,6137.10 8647.54,6130.00 8634.32,6105.27 8622.80,6076.32"
-1010424151#1,1083529145,9322776469,8658.27,6163.82,8659.42,6146.86,"8658.27,6163.82 8656.87,6161.01 8655.37,6156.82 8654.60,6150.74 8655.03,6149.87 8658.76,6148.78 8659.42,6146.86"
-1010449649,9322787078,9322787076,8544.47,5309.62,8563.32,5367.98,"8544.47,5309.62 8563.32,5367.98"
-1010449841,9322787078,312691481,8536.43,5302.99,8497.54,5315.73,"8536.43,5302.99 8497.54,5315.73"
-1010449842,9322787077,9322787078,8522.91,5242.85,8540.04,5295.89,"8522.91,5242.85 8540.04,5295.89"
-1010450627,9322933335,9322933334,8579.38,5282.66,8561.1,5228.97,"8579.38,5282.66 8561.10,5228.97"
-1010450628,9322933336,9322933335,8602.59,5355.17,8583.92,5296.45,"8602.59,5355.17 8583.92,5296.45"
-1010451763#0,9322949355,9322949351,8613.91,5246.13,8608.62,5247.92,"8613.91,5246.13 8608.62,5247.92"
-1010451763#1,9322949357,9322949355,8629.59,5240.9,8627.56,5241.57,"8629.59,5240.90 8627.56,5241.57"
-1010451763#2,9322949359,9322949357,8661.02,5255.83,8643.25,5236.28,"8661.02,5255.83 8654.19,5232.49 8643.25,5236.28"
-1010451763#3,9322949364,9322949359,8661.57,5291.65,8665.06,5269.66,"8661.57,5291.65 8670.57,5288.52 8665.06,5269.66"
